5.77685E-09		-3.25311E-08		-3.25311E-08		-3.25311E-08		-3.25311E-08		3.76369E-08		3.76369E-08		3.76369E-08		3.76369E-08		4.6575458E-008	
4.75106E-15		1.40763E-15		1.40763E-15		1.40763E-15		1.40763E-15		6.66053E-16		6.66053E-16		6.66053E-16		6.66053E-16		-1.7791167E-015	
-3.03289E-09		3.06695E-08		3.06695E-08		3.06695E-08		3.06695E-08		-3.90025E-08		-3.90025E-08		-3.90025E-08		-3.90025E-08		-4.3293976E-008	
-1.04342E-15		1.92468E-16		1.92468E-16		1.92468E-16		1.92468E-16		1.49717E-15		1.49717E-15		1.49717E-15		1.49717E-15		3.7043699E-017	
1.27176E-09		-2.72036E-08		-2.72036E-08		-2.72036E-08		-2.72036E-08		3.33485E-08		3.33485E-08		3.33485E-08		3.33485E-08		3.2390702E-008	
4.20656E-15		9.24171E-16		9.24171E-16		9.24171E-16		9.24171E-16		-2.23317E-16		-2.23317E-16		-2.23317E-16		-2.23317E-16		-1.6831337E-015	
-2.79004E-10		2.28337E-08		2.28337E-08		2.28337E-08		2.28337E-08		-2.36965E-08		-2.36965E-08		-2.36965E-08		-2.36965E-08		-1.8047302E-008	
-5.24873E-15		-1.29841E-15		-1.29841E-15		-1.29841E-15		-1.29841E-15		1.6257E-15		1.6257E-15		1.6257E-15		1.6257E-15		-2.1220312E-015	
-1.44491E-10		-1.81348E-08		-1.81348E-08		-1.81348E-08		-1.81348E-08		1.29602E-08		1.29602E-08		1.29602E-08		1.29602E-08		4.2357096E-009	
-7.4519E-15		-9.75131E-17		-9.75131E-17		-9.75131E-17		-9.75131E-17		-3.01331E-16		-3.01331E-16		-3.01331E-16		-3.01331E-16		3.3285934E-015	
2.39628E-10		1.34867E-08		1.34867E-08		1.34867E-08		1.34867E-08		-3.36941E-09		-3.36941E-09		-3.36941E-09		-3.36941E-09		6.2066325E-009	
-8.33675E-15		1.1993E-15		1.1993E-15		1.1993E-15		1.1993E-15		-3.7149E-15		-3.7149E-15		-3.7149E-15		-3.7149E-15		-1.4576674E-015	
-2.27329E-10		-9.12806E-09		-9.12806E-09		-9.12806E-09		-9.12806E-09		-3.7698E-09		-3.7698E-09		-3.7698E-09		-3.7698E-09		-1.1984907E-008	
-1.3216E-15		-4.95677E-15		-4.95677E-15		-4.95677E-15		-4.95677E-15		-1.25911E-15		-1.25911E-15		-1.25911E-15		-1.25911E-15		1.1797705E-015	
2.30863E-10		5.25898E-09		5.25898E-09		5.25898E-09		5.25898E-09		8.03476E-09		8.03476E-09		8.03476E-09		8.03476E-09		1.3257131E-008	
-6.79643E-15		3.97523E-15		3.97523E-15		3.97523E-15		3.97523E-15		-1.07412E-15		-1.07412E-15		-1.07412E-15		-1.07412E-15		-4.6824389E-016	
-2.59127E-10		-2.09604E-09		-2.09604E-09		-2.09604E-09		-2.09604E-09		-9.67233E-09		-9.67233E-09		-9.67233E-09		-9.67233E-09		-1.1193730E-008	
-6.82411E-15		-1.74226E-15		-1.74226E-15		-1.74226E-15		-1.74226E-15		2.57426E-15		2.57426E-15		2.57426E-15		2.57426E-15		2.5561234E-016	
2.63941E-10		-1.64453E-10		-1.64453E-10		-1.64453E-10		-1.64453E-10		9.31727E-09		9.31727E-09		9.31727E-09		9.31727E-09		7.3970470E-009	
-1.71924E-15		5.10119E-15		5.10119E-15		5.10119E-15		5.10119E-15		-4.27056E-15		-4.27056E-15		-4.27056E-15		-4.27056E-15		3.2568785E-015	
-2.12012E-10		1.45152E-09		1.45152E-09		1.45152E-09		1.45152E-09		-7.72722E-09		-7.72722E-09		-7.72722E-09		-7.72722E-09		-3.3729299E-009	
4.77689E-16		-6.74452E-15		-6.74452E-15		-6.74452E-15		-6.74452E-15		4.23001E-16		4.23001E-16		4.23001E-16		4.23001E-16		1.9127243E-015	
1.20827E-10		-1.89966E-09		-1.89966E-09		-1.89966E-09		-1.89966E-09		5.58757E-09		5.58757E-09		5.58757E-09		5.58757E-09		1.8126479E-010	
